canonical_label,label_type,category,keyword,month,interest,metadata_json
puffer jacket,clothing,outerwear,puffer jacket,2024-04-01,11.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-05-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-06-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-07-01,8.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-08-01,14.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-09-01,22.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-10-01,37.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-11-01,75.0,
puffer jacket,clothing,outerwear,puffer jacket,2024-12-01,100.0,
puffer jacket,clothing,outerwear,puffer jacket,2025-01-01,66.0,
puffer jacket,clothing,outerwear,puffer jacket,2025-02-01,35.0,
puffer jacket,clothing,outerwear,puffer jacket,2025-03-01,19.0,
puffer jacket,clothing,outerwear,puffer jacket,2025-04-01,11.0,
puffer jacket,clothing,outerwear,puffer jacket,2025-05-01,8.0,
puffer jacket,clothing,outerwear,puffer jacket,2025-06-01,7.0,
puffer jacket,clothing,outerwear,puffer jacket,2025-07-01,10.0,
puffer jacket,clothing,outerwear,puffer jacket,2025-08-01,15.0,
puffer jacket,clothing,outerwear,puffer jacket,2025-09-01,19.0,
puffer jacket,clothing,outerwear,puffer jacket,2025-10-01,44.0,
puffer jacket,clothing,outerwear,down jacket,2010-01-01,11.0,
puffer jacket,clothing,outerwear,down jacket,2010-02-01,8.0,
puffer jacket,clothing,outerwear,down jacket,2010-03-01,3.0,
puffer jacket,clothing,outerwear,down jacket,2010-04-01,2.0,
puffer jacket,clothing,outerwear,down jacket,2010-05-01,2.0,
puffer jacket,clothing,outerwear,down jacket,2010-06-01,2.0,
puffer jacket,clothing,outerwear,down jacket,2010-07-01,2.0,
puffer jacket,clothing,outerwear,down jacket,2010-08-01,2.0,
puffer jacket,clothing,outerwear,down jacket,2010-09-01,4.0,
puffer jacket,clothing,outerwear,down jacket,2010-10-01,6.0,
puffer jacket,clothing,outerwear,down jacket,2010-11-01,11.0,
puffer jacket,clothing,outerwear,down jacket,2010-12-01,17.0,
puffer jacket,clothing,outerwear,down jacket,2011-01-01,13.0,
puffer jacket,clothing,outerwear,down jacket,2011-02-01,8.0,
puffer jacket,clothing,outerwear,down jacket,2011-03-01,4.0,
puffer jacket,clothing,outerwear,down jacket,2011-04-01,2.0,
puffer jacket,clothing,outerwear,down jacket,2011-05-01,2.0,
puffer jacket,clothing,outerwear,down jacket,2011-06-01,2.0,
puffer jacket,clothing,outerwear,down jacket,2011-07-01,2.0,
puffer jacket,clothing,outerwear,down jacket,2011-08-01,3.0,
